review_id,game_id,game_name,expected_anomalies,collection_strategy,review_text,text_length_chars,text_length_words,text_caps_ratio,text_punct_ratio,text_exclamation_count,text_question_count,text_url_count,text_paragraph_count,text_emoji_like_count,sentiment_polarity,sentiment_subjectivity,review_voted_up,review_votes_up,review_votes_funny,review_comment_count,review_helpful_ratio,review_engagement_score,sentiment_vote_mismatch,text_generic_positive_count,text_generic_negative_count,user_num_reviews,user_num_games,user_playtime_at_review_hours,user_playtime_last_two_weeks_hours,user_playtime_forever_hours,user_steamlevel,user_is_new,user_single_game,user_low_activity,user_review_playtime_ratio,user_recent_play_ratio,user_review_under_2h,user_this_game_focus,user_reviews_per_game,user_experienced_this_game,review_timestamp_created,review_timestamp_updated,review_updated,review_steam_purchase,review_received_for_free,review_early_access,rule_anomaly_score,near_incident,days_from_incident,anomaly_new_account,anomaly_minimal_playtime,anomaly_quick_review,anomaly_generic_text,anomaly_caps_abuse,anomaly_suspicious_length,anomaly_limited_library,anomaly_no_engagement,anomaly_free_copy,anomaly_external_key,anomaly_external_source,weak_is_anomaly,anomaly_type,confidence,is_anomaly_manual,has_manual_label,review_score_all,review_score_desc_all,review_count_all_positive,review_count_all_negative,review_score_recent,review_score_desc_recent,review_count_recent_positive,review_count_recent_negative
208339677,553850,Helldivers 2,bombing,recent_all,Amazing single and multilplayer game. Would 1000% recommend,59,8,0.0338983050847457,0.0169491525423728,0,0,0,1,0,0.0428571428571428,0.5047619047619047,1,0,0,0,0.0,0,0,1,0,6,0,14.883333333333333,16.85,16.85,0,0,1,1,3.964165733482643,1.0,0,16.85,6.0,0,1762198806,1762198806,0,1,0,0,2,0,546,0,0,0,0,0,0,1,1,0,0,0,0,,,,0,8,Very Positive,630945,136282,8,Very Positive,630945,136282
208339461,553850,Helldivers 2,bombing,recent_all,Рубилова Мочилово Чотко,23,3,0.1304347826086956,0.0,0,0,0,1,0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,8,65,137.28333333333333,0.7,137.28333333333333,0,0,0,0,0.1675367245356319,0.0050989437902148,0,2.112051282051282,0.123076923076923,1,1762198621,1762198621,0,1,0,0,1,0,546,0,0,0,0,0,0,0,1,0,0,0,0,,,,0,8,Very Positive,630945,136282,8,Very Positive,630945,136282
208339099,553850,Helldivers 2,bombing,recent_all,For democracy,13,2,0.0769230769230769,0.0,0,0,0,1,0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,7,0,3.1166666666666667,4.05,4.05,0,0,1,1,4.171122994652406,1.0,0,4.05,7.0,0,1762198319,1762198319,0,0,0,0,4,0,546,0,0,0,0,0,1,1,1,0,1,1,0,,,,0,8,Very Positive,630945,136282,8,Very Positive,630945,136282
208338927,553850,Helldivers 2,bombing,recent_all,"For Democracy, Super Earth needs you",36,6,0.1111111111111111,0.0277777777777777,0,0,0,1,0,0.3333333333333333,0.6666666666666666,1,0,0,0,0.0,0,0,0,0,17,0,1.75,1.75,1.75,0,0,1,0,20.571428571428573,1.0,1,1.75,17.0,0,1762198180,1762198180,0,1,0,0,3,0,546,0,0,1,0,0,0,1,1,0,0,0,0,,,,0,8,Very Positive,630945,136282,8,Very Positive,630945,136282
208338323,553850,Helldivers 2,bombing,recent_all,Highly recommend.,17,2,0.0588235294117647,0.0588235294117647,0,0,0,1,0,0.16,0.54,1,0,0,0,0.0,0,0,0,0,1,0,94.05,8.116666666666667,94.16666666666669,0,1,1,1,0.1807549175970228,0.0861946902654867,0,94.16666666666669,1.0,1,1762197705,1762197705,0,1,0,0,5,0,546,1,0,0,1,0,1,1,1,0,0,0,1,normal,high,0.0,1,8,Very Positive,630945,136282,8,Very Positive,630945,136282
208336691,553850,Helldivers 2,bombing,recent_all,"Brutal, but satisfying. The levels are just different enough to feel fresh every time, despite it being basically the same thing.",129,21,0.0155038759689922,0.0310077519379844,0,0,0,1,0,-0.0125,0.6208333333333333,1,0,0,0,0.0,0,0,0,0,7,0,15.8,17.583333333333332,17.583333333333332,0,0,1,1,8.164556962025316,1.0,0,17.583333333333332,7.0,0,1762196321,1762196321,0,1,0,0,2,0,546,0,0,0,0,0,0,1,1,0,0,0,0,,,,0,8,Very Positive,630945,136282,8,Very Positive,630945,136282
208336638,553850,Helldivers 2,bombing,recent_all,9/9 Super Citizens recommend playing this liberating-democracy-driven game,74,8,0.027027027027027,0.0,0,0,0,1,0,-0.0333333333333333,0.5333333333333333,1,0,0,0,0.0,0,0,0,0,6,48,108.56666666666666,11.716666666666669,108.8,0,0,0,0,0.6816088424930918,0.1076899509803921,0,2.2666666666666666,0.125,1,1762196278,1762196278,0,1,0,0,1,0,546,0,0,0,0,0,0,0,1,0,0,0,0,,,,0,8,Very Positive,630945,136282,8,Very Positive,630945,136282
208336182,553850,Helldivers 2,bombing,recent_all,It's a blast with friends,25,5,0.04,0.0,0,0,0,1,0,0.0,0.0,1,0,0,0,0.0,0,0,0,0,21,106,27.2,0.0,27.2,0,0,0,0,0.9191176470588236,0.0,0,0.2566037735849056,0.1981132075471698,1,1762195878,1762195878,0,0,0,0,2,0,546,0,0,0,0,0,0,0,1,0,1,1,0,,,,0,8,Very Positive,630945,136282,8,Very Positive,630945,136282
208333264,553850,Helldivers 2,bombing,recent_all,"Helldivers 2 used to be one of the most fun and chaotic co-op games I’ve ever played. Jumping in with friends, experimenting with loadouts, and laughing through the chaos was pure gold. But over time, update after update, that fun has slowly been stripped away.The game has had its ups and downs, but lately it’s been nothing but downhill. The fun keeps getting nerfed, the pain keeps getting buffed. What used to be a sandbox for creativity has become a rigid meta where only a handful of guns and armours are worth using.The Warbond system could’ve been great, but now it’s just a cosmetic treadmill. Every new “content drop” brings more bugs, more broken objectives, and more frustration. Silent enemies, clipping through walls, unkillable mobs, game crashes — they’ve all become a regular part of the experience. New enemies feel rushed and badly balanced, with no real counterplay or logic behind their design. With so much variety in weapons, stratagems, and armour, you’d think there’d be a coherent system tying it all together… but there just isn’t anymore. What’s worse is that there was a time when it felt like the devs listened, like they cared about making the game better but not anymore. At this point, it’s sad to see how far this game has fallen. I really loved Helldivers 2 and wanted it to succeed, but I can’t recommend it in its current state. If you’re looking for the game that once brought so many players together in chaotic, hilarious freedom — it’s gone.",1482,256,0.0128205128205128,0.0236167341430499,0,0,0,1,0,0.0663059163059163,0.4945189070189069,0,11,0,0,1.0,11,0,0,0,9,54,257.03333333333336,0.1666666666666666,257.03333333333336,0,0,0,0,5.765789132408248,0.0006484243288808,0,4.759876543209877,0.1666666666666666,1,1762193316,1762193316,0,0,0,0,1,0,546,0,0,0,0,0,0,0,0,0,1,1,0,,,,0,8,Very Positive,630945,136282,8,Very Positive,630945,136282
208332197,553850,Helldivers 2,bombing,recent_all,great game its very unique,26,5,0.0,0.0,0,0,0,1,0,0.2958333333333333,0.7166666666666667,1,0,0,0,0.0,0,0,0,0,3,0,12.15,0.7333333333333333,12.883333333333333,0,1,1,1,2.139917695473251,0.056921086675291,0,12.883333333333333,3.0,0,1762192464,1762192464,0,1,0,0,3,0,546,1,0,0,0,0,0,1,1,0,0,0,0,,,,0,8,Very Positive,630945,136282,8,Very Positive,630945,136282
